commit	val_bpb	memory_gb	status	description
aaf3888	1.214112	1.5	discard	MATRIX_LR=0.035 (same as 0.04, revert)
0e18182	1.214171	1.5	discard	WARMDOWN_RATIO=0.4 (same, revert)
928e56a	1.223168	1.5	discard	MLP_EXPAND=2 (smaller MLP hurts, revert)
b3a1d0b	1.240011	3.5	discard	MATRIX_LR=0.06+WD=0 (no improvement over 0.05)
928e56a	1.223168	1.5	discard	MLP_EXPAND=2 (smaller MLP hurts, revert)
fd6365d	1.224700	1.5	discard	SiLU activation (worse than squared ReLU)
ff2326f	1.239706	1.8	discard	parallel attention+MLP (shared norm, worse)
544b361	1.215832	1.5	discard	MATRIX_LR=0.05 with depth=4 (slightly worse)
b623f6e	1.214731	1.5	discard	WARMDOWN_RATIO=0.6 (same, revert)
60e8b60	1.213733	1.5	keep	FINAL_LR_FRAC=0.05 (slight improvement, was 0.1)
e80058d	1.215525	1.5	discard	FINAL_LR_FRAC=0.02 (too aggressive, worse)
d197bb9	1.221173	1.5	discard	RoPE base=1000 (worse, keep 10000)
6656135	1.214347	1.5	discard	EMBEDDING_LR=0.4 (same as 0.6, revert)
3182950	1.214519	1.5	discard	Adam beta1=0.85 (same, revert)
e24fa11	1.225699	1.5	discard	GELU activation (worse than squared ReLU)
16f52cd	1.217671	1.5	discard	no Muon momentum warmup (warmup needed, revert)
75f5a10	0.000000	0.0	crash	HEAD_DIM=256 (FA3 kernel doesn't support it)
368c9ca	1.214215	1.5	discard	UNEMBEDDING_LR=0.008 (slightly worse)
40b3689	1.241179	1.8	discard	no VE (VE gives huge -0.027 improvement, keep it)
9a16282	1.211904	2.2	keep	DEPTH=5 dim=256 (ASPECT_RATIO=51) -> 1693 steps
cae922f	1.208677	2.5	keep	DEPTH=6 dim=256 (ASPECT_RATIO=42) -> 1505 steps
ce253b2	1.209733	2.9	discard	DEPTH=7 dim=256 (slightly worse, fewer steps)
8dc97f1	1.209774	2.5	discard	short_window=64 with DEPTH=6 (128 still better)
49936ef	1.212877	3.1	discard	DEPTH=8 dim=256 (fewer steps, worse)
d1bda8b	1.208667	2.5	discard	MATRIX_LR=0.035 with DEPTH=6 (same as 0.04)
165a19e	1.216905	2.4	discard	GQA n_kv_head=1 with DEPTH=6 (worse quality)
d433623	1.210471	2.5	discard	ve_gate_channels=128 (32 still better)
463dd4b	1.208987	2.5	discard	FINAL_LR_FRAC=0.03 at DEPTH=6 (0.05 still better)
9146baa	1.208586	2.5	discard	short_window=96 DEPTH=6 (essentially same as 128)
0c1cc7f	1.212891	2.5	discard	x0_lambdas init=0.05 (0.1 better)
08ddb72	1.227598	2.8	discard	HEAD_DIM=96 dim=288 (too slow, 1094 steps)
01600c6	1.209699	2.5	discard	softcap=20 (15 still better)
89992be	1.212817	2.5	discard	WARMUP_RATIO=0.05+MATRIX_LR=0.05 (warmup doesn't help)
2215615	1.212374	2.5	discard	WINDOW_PATTERN=SSSLSS (L at middle hurts, SSSS best)
15cf5a4	1.222873	1.4	discard	TOTAL_BATCH=2^14 batch=8 DEPTH=6 (too noisy, 2709 steps)
1e68cf9	1.214678	2.5	discard	Muon ns_steps=3 (5 needed for quality)
73e92de	1.212369	2.5	discard	x0_lambdas init=0.2 (0.1 still best)
54531bc	1.210930	2.8	discard	MLP 5x expansion (fewer steps, worse)
7e7558b	1.214462	2.5	discard	resid_lambdas init=1/sqrt(depth) (1.0 better)
365c22e	1.208792	2.5	discard	Muon beta2=0.99 (same as 0.95)
f28b302	1.211538	2.5	discard	short_window=256 at DEPTH=6 (128 still best)
83d3a66	1.205974	2.8	keep	sandwich norm (extra norm on attn/MLP outputs)
04188a6	1.210068	3.1	discard	DEPTH=7 with sandwich norm (DEPTH=6 still best)
81839c4	1.205679	2.8	keep	MATRIX_LR=0.05 with sandwich norm
6717a40	1.205594	2.8	keep	MATRIX_LR=0.06 with sandwich norm (tiny improvement)
3476b66	1.204885	2.8	keep	MATRIX_LR=0.07 with sandwich norm
e6ae66a	1.204891	2.8	discard	MATRIX_LR=0.08 (same as 0.07, revert)
3ab75ea	1.205099	2.7	discard	FINAL_LR_FRAC=0.04 (slightly worse than 0.05)
e8e2317	1.206223	2.7	discard	HEAD_DIM=64 4heads (worse, HEAD_DIM=128 better)
49cd3c3	1.204652	2.7	keep	WARMDOWN_RATIO=0.45 (slight improvement)
1049718	1.205811	2.7	discard	WARMDOWN_RATIO=0.40 (worse, 0.45 is better)
d253c99	1.205275	2.7	discard	FINAL_LR_FRAC=0.04 with WARMDOWN=0.45 (worse)
825dbfd	1.205610	2.7	discard	FINAL_LR_FRAC=0.06 with WARMDOWN=0.45 (worse)
f868ad3	1.204710	2.7	discard	MATRIX_LR=0.075 with WARMDOWN=0.45 (same as 0.07)
6232653	1.204556	2.8	keep	VE on all 6 layers (slight improvement, was alternating)
998a923	1.203672	2.8	keep	MATRIX_LR=0.075 with all-layer VE
3ca32ca	1.205124	2.8	discard	MATRIX_LR=0.08 with all-layer VE (worse)
666051a	1.204157	2.8	discard	EMBEDDING_LR=0.5 with all-layer VE (worse)
8b0b40e	1.228697	2.8	discard	norm(x) before lambda mixing (destabilizes residual)
66c6a67	1.210035	2.8	discard	x0_lambdas init=0.15 (worse, 0.1 is optimal)
0a5191c	1.209507	2.8	discard	x0_lambdas init=0.05 (worse, 0.1 is optimal)
6bbf6f6	1.205899	2.8	discard	Muon momentum warmup 150 steps (worse, 300 is better)
afc741a	1.211373	2.8	discard	resid_lambdas init=0.9 (much worse, 1.0 is optimal)
c2e586b	1.204416	2.8	discard	ADAM_BETAS beta2=0.99 (slightly worse)
8d6c48a	1.204959	2.8	discard	GPT-2 c_proj init 1/sqrt(depth) (worse, zero is better)
3811ab0	1.254141	2.8	discard	all-short windows no full last layer (catastrophic, VE not enough for long-range)
014ea34	1.206188	2.8	discard	WINDOW_PATTERN=SSSSL 2 full-context layers (worse, 1 is optimal)
f41f2bd	1.206164	2.8	discard	MLP-first then attention order (worse)
6bc201a	1.205299	2.8	discard	short_window=64 with all-layer VE (128 still better)
3f3f317	1.202669	2.8	keep	VE LR=0.5x embedding LR (separate lower VE LR)
2a1418e	1.203741	2.8	discard	VE LR=0.3x (too low, 0.5x better)
a93115b	1.202863	2.8	discard	VE LR=0.7x (slightly worse than 0.5x)
04ac0e1	1.203810	2.8	discard	VE LR=0.4x (worse, 0.5x is optimal)
1655385	1.203971	2.8	discard	MATRIX_LR=0.08 with VE LR=0.5x (0.075 still better)
f3c551c	1.203908	2.8	discard	EMBEDDING_LR=0.7 (VE LR=0.35x, 0.6 still better)
6598500	1.202163	2.8	keep	WARMDOWN_RATIO=0.47 (improvement)
2e93d8b	1.202263	2.8	discard	WARMDOWN_RATIO=0.50 (0.47 still slightly better)
6167e38	1.207393	2.8	discard	UNEMBEDDING_LR=0.003 (much worse, 0.004 optimal)
1d6f2ae	1.207423	2.8	discard	exponential LR decay during warmdown (worse, linear is better)
cc21a8e	1.205205	2.8	discard	SCALAR_LR=0.7 (worse, 0.5 is optimal)
e4aebc7	1.208405	3.1	discard	DEPTH=7 dim=256 (fewer steps 1296, worse)
414bf49	1.203147	2.8	discard	MATRIX_LR=0.065 (0.075 still optimal)
cf14ab3	1.204550	2.8	discard	ve_gate_channels=64 (worse, 32 is optimal)
6d4a434	1.207390	2.8	discard	Muon ns_steps=4 (worse, 5 is needed for quality)
ecdacaa	1.205645	2.7	discard	shared VE tables (3 for 6 layers, worse-each layer needs own VE)
8fca0d2	1.202981	2.8	discard	lm_head bias=True (vocab freq priors, slightly worse)
64182b1	1.203139	2.8	discard	Muon final momentum=0.97 (was 0.95, slightly worse)
6b051b0	1.202172	2.8	discard	softcap=12 (essentially same as 15)
a30322e	1.241221	3.8	discard	label smoothing=0.1 during training (much worse)
db5593d	2.997826	2.8	discard	weight tying (catastrophic - embedding LR=0.6 too high for unembedding)
e0d0281	1.203280	2.8	discard	EMBEDDING_LR=0.65 (slightly worse, 0.6 optimal)
457e370	1.204265	2.7	discard	remove VE gate (fixed v=v+ve, slightly worse - gate is useful)
bbb273f	1.204521	2.8	discard	ADAM_BETAS beta2=0.90 (slightly worse, 0.95 optimal)
ac6bf03	1.203062	2.8	discard	second-to-last layer window=512 (slightly worse, fewer steps)
09f5251	1.202152	2.8	keep	WARMDOWN_RATIO=0.49 (marginal improvement)
8b9f719	1.201749	2.8	keep	WARMDOWN_RATIO=0.48 (improvement)
42db1c4	1.202531	2.8	discard	WARMDOWN_RATIO=0.46 (0.48 is optimal)
730497b	1.202518	2.8	discard	WARMDOWN_RATIO=0.60+FINAL_LR_FRAC=0.02 (worse)
2fe2159	1.202225	2.8	discard	Muon weight_decay=0.01 (slightly worse, WD=0 optimal)
1960398	1.203063	2.8	discard	no Muon aspect-ratio LR scaling (worse, scaling helps)
65e4503	1.203964	2.8	discard	x0_lambdas LR=0.25 (worse, 0.5 optimal)
