Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSS'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 12,582,912
  lm_head                 : 2,097,152
  transformer_matrices    : 4,718,976
  scalars                 : 12
  total                   : 21,496,204
Estimated FLOPs per token: 4.915430e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010792 | lrm: 1.00 | dt: 9090ms | tok/sec: 3,604 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.946427 | lrm: 1.00 | dt: 201ms | tok/sec: 163,419 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.667118 | lrm: 1.00 | dt: 202ms | tok/sec: 162,372 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.374587 | lrm: 1.00 | dt: 203ms | tok/sec: 161,167 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.130298 | lrm: 1.00 | dt: 204ms | tok/sec: 160,658 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.904908 | lrm: 1.00 | dt: 205ms | tok/sec: 159,714 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.708995 | lrm: 1.00 | dt: 205ms | tok/sec: 159,970 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.537808 | lrm: 1.00 | dt: 205ms | tok/sec: 160,220 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.381361 | lrm: 1.00 | dt: 204ms | tok/sec: 160,979 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.243413 | lrm: 1.00 | dt: 204ms | tok/sec: 160,291 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.119427 | lrm: 1.00 | dt: 205ms | tok/sec: 160,139 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.001260 | lrm: 1.00 | dt: 204ms | tok/sec: 160,513 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.903204 | lrm: 1.00 | dt: 204ms | tok/sec: 160,752 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.807412 | lrm: 1.00 | dt: 204ms | tok/sec: 160,376 | mfu: 0.8% | epoch: 1 | remaining: 299s    
step 00047 (2.5%) | loss: 5.605826 | lrm: 1.00 | dt: 205ms | tok/sec: 159,843 | mfu: 0.8% | epoch: 1 | remaining: 292s    
step 00048 (2.5%) | loss: 5.589328 | lrm: 1.00 | dt: 205ms | tok/sec: 160,077 | mfu: 0.8% | epoch: 1 | remaining: 292s    
step 00049 (2.6%) | loss: 5.578812 | lrm: 1.00 | dt: 204ms | tok/sec: 160,474 | mfu: 0.8% | epoch: 1 | remaining: 292s    
step 00050 (2.7%) | loss: 5.561127 | lrm: 1.00 | dt: 205ms | tok/sec: 159,611 | mfu: 0.8% | epoch: 1 | remaining: 292s    
step 00051 (2.7%) | loss: 5.552043 | lrm: 1.00 | dt: 205ms | tok/sec: 159,805 | mfu: 0.8% | epoch: 1 | remaining: 292s    
step 00052 (2.8%) | loss: 5.539884 | lrm: 1.00 | dt: 204ms | tok/sec: 160,345 | mfu: 0.8% | epoch: 1 | remaining: 291s    
step 00053 (2.9%) | loss: 5.523093 | lrm: 1.00 | dt: 205ms | tok/sec: 160,010 | mfu: 0.8% | epoch: 1 | remaining: 291s    
step 00054 (2.9%) | loss: 5.505175 | lrm: 1.00 | dt: 205ms | tok/sec: 160,132 | mfu: 0.8% | epoch: 1 | remaining: 291s    
step 00055 (3.0%) | loss: 5.491992 | lrm: 1.00 | dt: 205ms | tok/sec: 160,109 | mfu: 0.8% | epoch: 1 | remaining: 291s    
step 00056 (3.1%) | loss: 5.475700 | lrm: 1.00 | dt: 205ms | tok/sec: 160,082 | mfu: 0.8% | epoch: 1 | remaining: 291s    
step 00057 (3.1%) | loss: 5.454540 | lrm: 1.00 | dt: 205ms | tok/sec: 160,084 | mfu: 0.8% | epoch: 1 | remaining: 290s    
step 00058 (3.2%) | loss: 5.450802 | lrm: 1.00 | dt: 205ms | tok/sec: 160,157 | mfu: 0.8% | epoch: 1 | remaining: 290s    
step 00059 (3.3%) | loss: 5.424205 | lrm: 1.00 | dt: 205ms | tok/sec: 159,832 | mfu: 0.8% | epoch: 1 | remaining: 290s    
step 00060 (3.3%) | loss: 5.413915 | lrm: 1.00 | dt: 205ms | tok/sec: 159,695 | mfu: 0.8% | epoch: 1 | remaining: 290s    
step 00061 (3.4%) | loss: 5.404301 | lrm: 1.00 | dt: 205ms | tok/sec: 160,191 | mfu: 0.8% | epoch: 1 | remaining: 290s    
step 00062 (3.5%) | loss: 5.391590 | lrm: 1.00 | dt: 205ms | tok/sec: 160,130 | mfu: 0.8% | epoch: 1 | remaining: 289s    
step 00063 (3.5%) | loss: 5.381826 | lrm: 1.00 | dt: 204ms | tok/sec: 160,342 | mfu: 0.8% | epoch: 1 | remaining: 289s    
step 00064 (3.6%) | loss: 5.366563 | lrm: 1.00 | dt: 205ms | tok/sec: 159,752 | mfu: 0.8% | epoch: 1 | remaining: 289s    
step 00065 (3.7%) | loss: 5.367034 | lrm: 1.00 | dt: 205ms | tok/sec: 160,084 | mfu: 0.8% | epoch: 1 | remaining: 289s    
step 00066 (3.8%) | loss: 5.354338 | lrm: 1.00 | dt: 205ms | tok/sec: 159,867 | mfu: 0.8% | epoch: 1 | remaining: 289s    
step 00067 (3.8%) | loss: 5.347539 | lrm: 1.00 | dt: 206ms | tok/sec: 159,341 | mfu: 0.8% | epoch: 1 | remaining: 288s    
step 00068 (3.9%) | loss: 5.328016 | lrm: 1.00 | dt: 205ms | tok/sec: 159,827 | mfu: 0.8% | epoch: 1 | remaining: 288s    
step 00069 (4.0%) | loss: 5.318773 | lrm: 1.00 | dt: 205ms | tok/sec: 160,231 | mfu: 0.8% | epoch: 1 | remaining: 288s    
step 00070 (4.0%) | loss: 5.306581 | lrm: 1.00 | dt: 204ms | tok/sec: 160,395 | mfu: 0.8% | epoch: 1 | remaining: 288s    
step 00071 (4.1%) | loss: 5.287059 | lrm: 1.00 | dt: 206ms | tok/sec: 159,408 | mfu: 0.8% | epoch: 1 | remaining: 288s    
step 00072 (4.2%) | loss: 5.280630 | lrm: 1.00 | dt: 205ms | tok/sec: 160,083 | mfu: 0.8% | epoch: 1 | remaining: 287s    
step 00073 (4.2%) | loss: 5.264742 | lrm: 1.00 | dt: 205ms | tok/sec: 160,095 | mfu: 0.8% | epoch: 1 | remaining: 287s    
step 00074 (4.3%) | loss: 5.250502 | lrm: 1.00 | dt: 206ms | tok/sec: 159,034 | mfu: 0.8% | epoch: 1 | remaining: 287s    
step 00075 (4.4%) | loss: 5.238198 | lrm: 1.00 | dt: 205ms | tok/sec: 159,488 | mfu: 0.8% | epoch: 1 | remaining: 287s    
step 00076 (4.4%) | loss: 5.239705 | lrm: 1.00 | dt: 205ms | tok/sec: 159,605 | mfu: 0.8% | epoch: 1 | remaining: 286s    
step 00077 (4.5%) | loss: 5.222710 | lrm: 1.00 | dt: 204ms | tok/sec: 160,345 | mfu: 0.8% | epoch: 1 | remaining: 286s    
step 00078 (4.6%) | loss: 5.207219 | lrm: 1.00 | dt: 205ms | tok/sec: 160,213 | mfu: 0.8% | epoch: 1 | remaining: 286s    
step 00079 (4.6%) | loss: 5.189026 | lrm: 1.00 | dt: 206ms | tok/sec: 159,414 | mfu: 0.8% | epoch: 1 | remaining: 286s    
step 00080 (4.7%) | loss: 5.189477 | lrm: 1.00 | dt: 205ms | tok/sec: 159,930 | mfu: 0.8% | epoch: 1 | remaining: 286s    
step 00081 (4.8%) | loss: 5.180683 | lrm: 1.00 | dt: 205ms | tok/sec: 160,147 | mfu: 0.8% | epoch: 1 | remaining: 285s    
step 00082 (4.8%) | loss: 5.167869 | lrm: 1.00 | dt: 206ms | tok/sec: 159,359 | mfu: 0.8% | epoch: 1 | remaining: 285s    
step 00083 (4.9%) | loss: 5.164165 | lrm: 1.00 | dt: 206ms | tok/sec: 159,110 | mfu: 0.8% | epoch: 1 | remaining: 285s    
step 00084 (5.0%) | loss: 5.150393 | lrm: 1.00 | dt: 205ms | tok/sec: 159,835 | mfu: 0.8% | epoch: 1 | remaining: 285s    
step 00085 (5.1%) | loss: 5.147220 | lrm: 1.00 | dt: 204ms | tok/sec: 160,836 | mfu: 0.8% | epoch: 1 | remaining: 285s    
step 00086 (5.1%) | loss: 5.132582 | lrm: 1.00 | dt: 204ms | tok/sec: 160,350 | mfu: 0.8% | epoch: 1 | remaining: 284s    
step 00087 (5.2%) | loss: 5.136551 | lrm: 1.00 | dt: 205ms | tok/sec: 160,030 | mfu: 0.8% | epoch: 1 | remaining: 284s    
step 00088 (5.3%) | loss: 5.123866 | lrm: 1.00 | dt: 205ms | tok/sec: 159,627 | mfu: 0.8% | epoch: 1 | remaining: 284s    
step 00089 (5.3%) | loss: 5.121901 | lrm: 1.00 | dt: 205ms | tok/sec: 159,501 | mfu: 0.8% | epoch: 1 | remaining: 284s    
step 00090 (5.4%) | loss: 5.109686 | lrm: 1.00 | dt: 205ms | tok/sec: 159,700 | mfu: 0.8% | epoch: 1 | remaining: 284s    
step 00091 (5.5%) | loss: 5.095628 | lrm: 1.00 | dt: 205ms | tok/sec: 159,471 | mfu: 0.8% | epoch: 1 | remaining: 283s    
step 00092 (5.5%) | loss: 5.091740 | lrm: 1.00 | dt: 205ms | tok/sec: 159,782 | mfu: 0.8% | epoch: 1 | remaining: 283s    
step 00093 (5.6%) | loss: 5.086600 | lrm: 1.00 | dt: 205ms | tok/sec: 159,956 | mfu: 0.8% | epoch: 1 | remaining: 283s    
step 00094 (5.7%) | loss: 5.067411 | lrm: 1.00 | dt: 206ms | tok/sec: 159,052 | mfu: 0.8% | epoch: 1 | remaining: 283s    
step 00095 (5.7%) | loss: 5.058943 | lrm: 1.00 | dt: 205ms | tok/sec: 159,939 | mfu: 0.8% | epoch: 1 | remaining: 283s    
step 00096 (5.8%) | loss: 5.054827 | lrm: 1.00 | dt: 206ms | tok/sec: 159,329 | mfu: 0.8% | epoch: 1 | remaining: 282s    
step 00097 (5.9%) | loss: 5.033978 | lrm: 1.00 | dt: 205ms | tok/sec: 160,103 | mfu: 0.8% | epoch: 1 | remaining: 282s    
step 00098 (5.9%) | loss: 5.032896 | lrm: 1.00 | dt: 205ms | tok/sec: 159,850 | mfu: 0.8% | epoch: 1 | remaining: 282s    
step 00099 (6.0%) | loss: 5.020493 | lrm: 1.00 | dt: 206ms | tok/sec: 158,761 | mfu: 0.8% | epoch: 1 | remaining: 282s    
step 00100 (6.1%) | loss: 5.001752 | lrm: 1.00 | dt: 206ms | tok/sec: 159,397 | mfu: 0.8% | epoch: 1 | remaining: 282s    
step 00101 (6.1%) | loss: 4.989504 | lrm: 1.00 | dt: 204ms | tok/sec: 160,267 | mfu: 0.8% | epoch: 1 | remaining: 281s    
step 00102 (6.2%) | loss: 4.972054 | lrm: 1.00 | dt: 205ms | tok/sec: 160,205 | mfu: 0.8% | epoch: 1 | remaining: 281s    
step 00103 (6.3%) | loss: 4.956587 | lrm: 1.00 | dt: 206ms | tok/sec: 159,043 | mfu: 0.8% | epoch: 1 | remaining: 281s    
step 00104 (6.3%) | loss: 4.952014 | lrm: 1.00 | dt: 205ms | tok/sec: 159,768 | mfu: 0.8% | epoch: 1 | remaining: 281s    
step 00105 (6.4%) | loss: 4.947210 | lrm: 1.00 | dt: 205ms | tok/sec: 159,558 | mfu: 0.8% | epoch: 1 | remaining: 281s    
step 00106 (6.5%) | loss: 4.940559 | lrm: 1.00 | dt: 206ms | tok/sec: 158,888 | mfu: 0.8% | epoch: 1 | remaining: 280s    
step 00107 (6.6%) | loss: 4.927697 | lrm: 1.00 | dt: 205ms | tok/sec: 159,605 | mfu: 0.8% | epoch: 1 | remaining: 280s    
step 00108 (6.6%) | loss: 4.918240 | lrm: 1.00 | dt: 206ms | tok/sec: 159,153 | mfu: 0.8% | epoch: 1 | remaining: 280s    
step 00109 (6.7%) | loss: 4.919624 | lrm: 1.00 | dt: 206ms | tok/sec: 159,273 | mfu: 0.8% | epoch: 1 | remaining: 280s    
step 00110 (6.8%) | loss: 4.920806 | lrm: 1.00 | dt: 206ms | tok/sec: 159,454 | mfu: 0.8% | epoch: 1 | remaining: 280s    
step 00111 (6.8%) | loss: 4.907736 | lrm: 1.00 | dt: 206ms | tok/sec: 159,319 | mfu: 0.8% | epoch: 1 | remaining: 279s    
step 00112 (6.9%) | loss: 4.906972 | lrm: 1.00 | dt: 207ms | tok/sec: 158,497 | mfu: 0.8% | epoch: 1 | remaining: 279s    
step 00113 (7.0%) | loss: 4.907610 | lrm: 1.00 | dt: 206ms | tok/sec: 159,120 | mfu: 0.8% | epoch: 1 | remaining: 279s    
step 00114 (7.0%) | loss: 4.897300 | lrm: 1.00 | dt: 206ms | tok/sec: 159,176 | mfu: 0.8% | epoch: 1 | remaining: 279s    
step 00115 (7.1%) | loss: 4.883640 | lrm: 1.00 | dt: 205ms | tok/sec: 159,487 | mfu: 0.8% | epoch: 1 | remaining: 278s    
step 00116 (7.2%) | loss: 4.862736 | lrm: 1.00 | dt: 205ms | tok/sec: 159,747 | mfu: 0.8% | epoch: 1 | remaining: 278s    
step 00117 (7.2%) | loss: 4.856134 | lrm: 1.00 | dt: 205ms | tok/sec: 159,903 | mfu: 0.8% | epoch: 1 | remaining: 278s    
step 00118 (7.3%) | loss: 4.842277 | lrm: 1.00 | dt: 206ms | tok/sec: 159,335 | mfu: 0.8% | epoch: 1 | remaining: 278s    
step 00119 (7.4%) | loss: 4.835462 | lrm: 1.00 | dt: 207ms | tok/sec: 158,095 | mfu: 0.8% | epoch: 1 | remaining: 278s    
step 00120 (7.4%) | loss: 4.821778 | lrm: 1.00 | dt: 206ms | tok/sec: 159,365 | mfu: 0.8% | epoch: 1 | remaining: 277s    
step 00121 (7.5%) | loss: 4.816748 | lrm: 1.00 | dt: 205ms | tok/sec: 159,800 | mfu: 0.8% | epoch: 1 | remaining: 277s    
step 00122 (7.6%) | loss: 4.808242 | lrm: 1.00 | dt: 205ms | tok/sec: 159,824 | mfu: 0.8% | epoch: 1 | remaining: 277s    
step 00123 (7.7%) | loss: 4.801121 | lrm: 1.00 | dt: 206ms | tok/sec: 158,994 | mfu: 0.8% | epoch: 1 | remaining: 277s    
step 00124 (7.7%) | loss: 4.788050 | lrm: 1.00 | dt: 206ms | tok/sec: 159,308 | mfu: 0.8% | epoch: 1 | remaining: 277s    
step 00125 (7.8%) | loss: 4.778770 | lrm: 1.00 | dt: 205ms | tok/sec: 159,566 | mfu: 0.8% | epoch: 1 | remaining: 276s    
step 00126 (7.9%) | loss: 4.766129 | lrm: 1.00 | dt: 207ms | tok/sec: 158,476 | mfu: 0.8% | epoch: 1 | remaining: 276s    
step 00127 (7.9%) | loss: 4.761425 | lrm: 1.00 | dt: 206ms | tok/sec: 159,166 | mfu: 0.8% | epoch: 1 | remaining: 276s    
step 00128 (8.0%) | loss: 4.749462 | lrm: 1.00 | dt: 206ms | tok/sec: 159,400 | mfu: 0.8% | epoch: 1 | remaining: 276s    
step 00129 (8.1%) | loss: 4.736742 | lrm: 1.00 | dt: 207ms | tok/sec: 158,599 | mfu: 0.8% | epoch: 1 | remaining: 276s    
step 00130 (8.1%) | loss: 4.731332 | lrm: 1.00 | dt: 205ms | tok/sec: 159,755 | mfu: 0.8% | epoch: 1 | remaining: 275s    
step 00131 (8.2%) | loss: 4.711467 | lrm: 1.00 | dt: 206ms | tok/sec: 158,828 | mfu: 0.8% | epoch: 1 | remaining: 275s    
step 00132 (8.3%) | loss: 4.696843 | lrm: 1.00 | dt: 206ms | tok/sec: 158,853 | mfu: 0.8% | epoch: 1 | remaining: 275s    
step 00133 (8.3%) | loss: 4.685526 | lrm: 1.00 | dt: 205ms | tok/sec: 160,041 | mfu: 0.8% | epoch: 1 | remaining: 275s    
step 00134 (8.4%) | loss: 4.685189 | lrm: 1.00 | dt: 206ms | tok/sec: 158,765 | mfu: 0.8% | epoch: 1 | remaining: 275s    
step 00135 (8.5%) | loss: 4.682489 | lrm: 1.00 | dt: 206ms | tok/sec: 159,011 | mfu: 0.8% | epoch: 1 | remaining: 274s    
step 00136 (8.5%) | loss: 4.685311 | lrm: 1.00 | dt: 206ms | tok/sec: 159,155 | mfu: 0.8% | epoch: 1 | remaining: 274s    
step 00137 (8.6%) | loss: 4.677620 | lrm: 1.00 | dt: 205ms | tok/sec: 159,478 | mfu: 0.8% | epoch: 1 | remaining: 274s    
step 00138 (8.7%) | loss: 4.662492 | lrm: 1.00 | dt: 207ms | tok/sec: 158,411 | mfu: 0.8% | epoch: 1 | remaining: 274s    
step 00139 (8.8%) | loss: 4.639302 | lrm: 1.00 | dt: 207ms | tok/sec: 158,544 | mfu: 0.8% | epoch: 1 | remaining: 274s    
step 00140 (8.8%) | loss: 4.625381 | lrm: 1.00 | dt: 206ms | tok/sec: 159,115 | mfu: 0.8% | epoch: 1 | remaining: 273s    
step 00141 (8.9%) | loss: 4.613237 | lrm: 1.00 | dt: 205ms | tok/sec: 159,649 | mfu: 0.8% | epoch: 1 | remaining: 273s    
step 00142 (9.0%) | loss: 4.615068 | lrm: 1.00 | dt: 205ms | tok/sec: 159,668 | mfu: 0.8% | epoch: 1 | remaining: 273s    
step 00143 (9.0%) | loss: 4.609031 | lrm: 1.00 | dt: 206ms | tok/sec: 158,714 | mfu: 0.8% | epoch: 1 | remaining: 273s    
step 00144 (9.1%) | loss: 4.606818 | lrm: 1.00 | dt: 206ms | tok/sec: 159,409 | mfu: 0.8% | epoch: 1 | remaining: 273s    
step 00145 (9.2%) | loss: 4.602663 | lrm: 1.00 | dt: 207ms | tok/sec: 158,619 | mfu: 0.8% | epoch: 1 | remaining: 272s    
step 00146 (9.2%) | loss: 4.602003 | lrm: 1.00 | dt: 206ms | tok/sec: 159,027 | mfu: 0.8% | epoch: 1 | remaining: 272s    
step 00147 (9.3%) | loss: 4.594243 | lrm: 1.00 | dt: 207ms | tok/sec: 158,681 | mfu: 0.8% | epoch: 1 | remaining: 272s    
step 00148 (9.4%) | loss: 4.577783 | lrm: 1.00 | dt: 206ms | tok/sec: 159,395 | mfu: 0.8% | epoch: 1 | remaining: 272s    
step 00149 (9.4%) | loss: 4.572154 | lrm: 1.00 | dt: 206ms | tok/sec: 159,377 | mfu: 0.8% | epoch: 1 | remaining: 271s    
step 00150 (9.5%) | loss: 4.556559 | lrm: 1.00 | dt: 206ms | tok/sec: 158,938 | mfu: 0.8% | epoch: 1 | remaining: 271s    
step 00151 (9.6%) | loss: 4.546284 | lrm: 1.00 | dt: 207ms | tok/sec: 158,248 | mfu: 0.8% | epoch: 1 | remaining: 271s    
step 00152 (9.6%) | loss: 4.539466 | lrm: 1.00 | dt: 206ms | tok/sec: 159,153 | mfu: 0.8% | epoch: 1 | remaining: 271s    
step 00153 (9.7%) | loss: 4.535806 | lrm: 1.00 | dt: 206ms | tok/sec: 159,194 | mfu: 0.8% | epoch: 1 | remaining: 271s    
step 00154 (9.8%) | loss: 4.527590 | lrm: 1.00 | dt: 206ms | tok/sec: 159,212 | mfu: 0.8% | epoch: 1 | remaining: 270s    
step 00155 (9.8%) | loss: 4.525904 | lrm: 1.00 | dt: 206ms | tok/sec: 159,447 | mfu: 0.8% | epoch: 1 | remaining: 270s    
step 00156 (9.9%) | loss: 4.520854 | lrm: 1.00 | dt: 207ms | tok/sec: 158,363 | mfu: 0.8% | epoch: 1 | remaining: 270s    
